Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10
M2, Ursynów, 5 min. do metra Imielin, 2900, od 1 Lutego 2024;2 900 z³;https://olx.pl/d/oferta/m2-ursynow-5-min-do-metra-imielin-2900-od-1-lutego-2024-CID3-IDIAAMc.html;2;2 pokoje;Blok;48 m?;Tak;Prywatne;729 z³
Wynajmê 2 pokojowe mieszkanie na ul Niewielkiej;2 300 z³;https://www.otodom.pl/pl/oferta/wynajme-2-pokojowe-mieszkanie-na-ul-niewielkiej-ID4oQ50.html;1;2;blok;47,3 m?;;prywatny;940 z³/miesi¹c
Wynajmê mieszkanie najchêtniej na biuro W-wa Madaliñskiego 20;4 000 z³;https://olx.pl/d/oferta/wynajme-mieszkanie-najchetniej-na-biuro-w-wa-madalinskiego-20-CID3-IDXKpKy.html;3;3 pokoje;Apartamentowiec;81,60 m?;Nie;Prywatne;1 200 z³
Wynajmê mieszkanie 38m2, Mokotów;3 000 z³;https://olx.pl/d/oferta/wynajme-mieszkanie-38m2-mokotow-CID3-IDL3n9W.html;9;2 pokoje;Blok;38 m?;Tak;Prywatne;593,39 z³
NO COMISSION/ bezpoœrednio mieszk. - 2 pokoje WOLA;6 000 z³;https://www.otodom.pl/pl/oferta/no-comission-bezposrednio-mieszk-2-pokoje-wola-ID4oxYM.html;2/8;2;apartamentowiec;46 m?;;prywatny;1 000 z³/miesi¹c
STUDIO dla 1 lub 2 osób, Targówek;2 700 z³;https://olx.pl/d/oferta/studio-dla-1-lub-2-osob-targowek-CID3-IDYopTa.html;4;Kawalerka;Blok;18 m?;Tak;Prywatne;1 z³
Wynajmê mieszkanie najchêtniej na biuro W-wa Madaliñskiego 20;4 000 z³;https://olx.pl/d/oferta/wynajme-mieszkanie-najchetniej-na-biuro-w-wa-madalinskiego-20-CID3-IDXKpKy.html;3;3 pokoje;Apartamentowiec;81,60 m?;Nie;Prywatne;1 200 z³
mieszkanie twin w student depot;2 840 z³;https://olx.pl/d/oferta/mieszkanie-twin-w-student-depot-CID3-IDYqqM5.html;4;Kawalerka;Blok;22 m?;Tak;Prywatne;1 z³
Komfortowy apartament Zielone Tarasy ul Beskidzka;4 500 z³;https://www.otodom.pl/pl/oferta/komfortowy-apartament-zielone-tarasy-ul-beskidzka-ID4nwuV.html;;3;apartamentowiec;80 m?;;prywatny;
Widok/rozk³ad/wysoki standard/Od zaraz;5 999 z³;https://www.otodom.pl/pl/oferta/widok-rozklad-wysoki-standard-od-zaraz-ID4oKNo.html;9/10;3;blok;76,71 m?;;biuro nieruchomoœci;1 100 z³/miesi¹c
Lux 4-pok 104m2 Oxygen przy Browarach Warszawskich;7 800 z³;https://olx.pl/d/oferta/lux-4-pok-104m2-oxygen-przy-browarach-warszawskich-CID3-IDYmCPo.html;4;4 i wiêcej;Apartamentowiec;104 m?;Tak;Prywatne;1 060 z³
Mieszkanie 52m2 Bia³o³êka, Aluzyjna;3 000 z³;https://olx.pl/d/oferta/mieszkanie-52m2-bialoleka-aluzyjna-CID3-IDWrSRj.html;1;2 pokoje;Blok;52 m?;Tak;Prywatne;550 z³
Alternatywy, Ursynów 51 m2;3 200 z³;https://www.otodom.pl/pl/oferta/alternatywy-ursynow-51-m2-ID4oQ4x.html;5/7;2;blok;51 m?;;prywatny;650 z³/miesi¹c
Witam, chcê przenieœæ dom;1 800 z³;https://olx.pl/d/oferta/witam-chce-przeniesc-dom-CID3-IDYqq9w.html;2;4 i wiêcej;Blok;25 m?;Tak;Prywatne;1 800 z³
STARY MOKOTÓW – wynajmê mieszkanie w kamienicy - 3 pokoje;4 500 z³;https://olx.pl/d/oferta/stary-mokotow-wynajme-mieszkanie-w-kamienicy-3-pokoje-CID3-IDXJE0H.html;2;3 pokoje;Kamienica;68 m?;Tak;Prywatne;1 150 z³
Poborzañska nowy blok 2 pokoje metro Bródno Targówek Warszawa;3 300 z³;https://olx.pl/d/oferta/poborzanska-nowy-blok-2-pokoje-metro-brodno-targowek-warszawa-CID3-IDQz7OI.html;4;2 pokoje;Blok;46 m?;Tak;Prywatne;650 z³
s³oneczne* wyposa¿one* balkon* taras*m.postojowe;6 100 z³;https://www.otodom.pl/pl/oferta/sloneczne-wyposazone-balkon-tarasm-postojowe-ID4oATg.html;3/4;4;blok;120 m?;;biuro nieruchomoœci;2 050 z³/miesi¹c
Do wynajêcia mieszkanie 54 mkw na Mokotowie;4 500 z³;https://olx.pl/d/oferta/do-wynajecia-mieszkanie-54-mkw-na-mokotowie-CID3-IDSXyaq.html;Parter;2 pokoje;Blok;54 m?;Tak;Prywatne;600 z³
2 pokojowe na 10 piêtrze z 2 miejscami w gara¿u...;4 500 z³;https://www.otodom.pl/pl/oferta/2-pokojowe-na-10-pietrze-z-2-miejscami-w-garazu-ID4obKu.html;10/12;2;apartamentowiec;60 m?;;prywatny;1 000 z³/miesi¹c
Mieszkanie przy metrze P³ocka | Dwa pokoje | Klimatyzacja;2 700 z³;https://olx.pl/d/oferta/mieszkanie-przy-metrze-plocka-dwa-pokoje-klimatyzacja-CID3-IDYqq2b.html;1;2 pokoje;Apartamentowiec;42,50 m?;Tak;Prywatne;800 z³
3 oddzielne pokoje ul Walerego S³awka 3/5;2 400 z³;https://olx.pl/d/oferta/3-oddzielne-pokoje-ul-walerego-slawka-3-5-CID3-IDYqpR0.html;3;3 pokoje;Blok;47 m?;Tak;Firmowe;600 z³
Warszawa Œródmieœcie, Muranów, dwa pokoje 38m;3 500 z³;https://olx.pl/d/oferta/warszawa-srodmiescie-muranow-dwa-pokoje-38m-CID3-IDYqpPR.html;6;2 pokoje;Blok;38 m?;Tak;Prywatne;1 z³
Przytulne Mieszkanie | 2 pokoje | Praga-p³d | 54 m;2 900 z³;https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-2-pokoje-praga-pld-54-m-ID4nSlY.html;1;2;blok;54 m?;;biuro nieruchomoœci;
Mieszkanie Mokotów - metro Wierzbno - 38m2;3 000 z³;https://olx.pl/d/oferta/mieszkanie-mokotow-metro-wierzbno-38m2-CID3-IDRXFlY.html;2;2 pokoje;Kamienica;38 m?;Tak;Prywatne;150 z³
Mieszkanie Dolny Mokotów od lutego;3 350 z³;https://olx.pl/d/oferta/mieszkanie-dolny-mokotow-od-lutego-CID3-IDYcG2Z.html;3;3 pokoje;Blok;57 m?;Tak;Prywatne;950 z³
Mokotów - Wierzbno  ul. Tyniecka wynajmê 2 pok, 48m;3 600 z³;https://olx.pl/d/oferta/mokotow-wierzbno-ul-tyniecka-wynajme-2-pok-48m-CID3-IDLe5Ti.html;Parter;2 pokoje;Kamienica;50 m?;Nie;Firmowe;1 z³
Mieszkanie 2-pokojowe, ul. Pustola 22 - blisko metra Ksiêcia Janusza;3 000 z³;https://olx.pl/d/oferta/mieszkanie-2-pokojowe-ul-pustola-22-blisko-metra-ksiecia-janusza-CID3-IDSqQ2r.html;1;2 pokoje;Blok;37 m?;Tak;Prywatne;590 z³
kawalerka 30m2- Stare W³ochy;2 050 z³;https://olx.pl/d/oferta/kawalerka-30m2-stare-wlochy-CID3-IDYqotO.html;2;Kawalerka;Blok;30 m?;Tak;Prywatne;750 z³
BEMOWO - przestronne 2 pokoje ul. Pirenejska;3 750 z³;https://www.otodom.pl/pl/oferta/bemowo-przestronne-2-pokoje-ul-pirenejska-ID4oQ1p.html;2/2;2;blok;57 m?;;prywatny;775 z³/miesi¹c
Mieszkanie 2-pokojowe, ul. Pustola 22 - blisko metra Ksiêcia Janusza;3 000 z³;https://olx.pl/d/oferta/mieszkanie-2-pokojowe-ul-pustola-22-blisko-metra-ksiecia-janusza-CID3-IDSqQ2r.html;1;2 pokoje;Blok;37 m?;Tak;Prywatne;590 z³
Unikatowe 3-pokojowe 72 m kw Park Dreszera;6 500 z³;https://olx.pl/d/oferta/unikatowe-3-pokojowe-72-m-kw-park-dreszera-CID3-IDVAFsQ.html;1;3 pokoje;Kamienica;72 m?;Tak;Firmowe;300 z³
Mieszkanie Rakowiec 2 Pokoje / Ochota Mo³dawska;2 600 z³;https://olx.pl/d/oferta/mieszkanie-rakowiec-2-pokoje-ochota-moldawska-CID3-IDXKEzM.html;9;2 pokoje;Blok;43 m?;Tak;Prywatne;600 z³
Mieszkanie 70 m2 Warszawa ul. Remiszewska Targówek;4 500 z³;https://www.otodom.pl/pl/oferta/mieszkanie-70-m2-warszawa-ul-remiszewska-targowek-ID4oQ3h.html;6/8;3;blok;70 m?;;prywatny;800 z³/miesi¹c
2400 2 pokoje OCHOTA (Pawiñskiego 16) Uniwersytet Med/Pole Mokotowskie;2 300 z³;https://olx.pl/d/oferta/2400-2-pokoje-ochota-pawinskiego-16-uniwersytet-med-pole-mokotowskie-CID3-IDYqo1N.html;2;2 pokoje;Blok;40 m?;Tak;Prywatne;1 z³
Bezpoœrednio kawalerka z du¿ym tarasem i gara¿em  Kabaty;2 250 z³;https://olx.pl/d/oferta/bezposrednio-kawalerka-z-duzym-tarasem-i-garazem-kabaty-CID3-IDRLXBH.html;1;Kawalerka;Blok;36 m?;Tak;Prywatne;600 z³
Do wynajêcia, 2pok, ul. Baleya, Ochota, umeblowane;2 500 z³;https://olx.pl/d/oferta/do-wynajecia-2pok-ul-baleya-ochota-umeblowane-CID3-IDW11hH.html;Parter;2 pokoje;Blok;37 m?;Tak;Firmowe;500 z³
Œródmieœcie, 2 pok., doskona³a lokalizacja, czyste, 32 m2;2 800 z³;https://olx.pl/d/oferta/srodmiescie-2-pok-doskonala-lokalizacja-czyste-32-m2-CID3-IDI4C5V.html;2;2 pokoje;Kamienica;32 m?;Tak;Prywatne;510 z³
Mieszkanie Metro Wierzbno;3 500 z³;https://olx.pl/d/oferta/mieszkanie-metro-wierzbno-CID3-IDQkkhT.html;2;3 pokoje;Blok;50 m?;Tak;Prywatne;1 086 z³
Doskona³a lokalizacja I widok na panoramê Warszawy;2 990 z³;https://www.otodom.pl/pl/oferta/doskonala-lokalizacja-i-widok-na-panorame-warszawy-ID4ovDk.html;9/16;2;blok;49,5 m?;;biuro nieruchomoœci;1 060 z³/miesi¹c
Cz³uchowska, Hala Wola, pokój 18m2 z ³azienk¹, lub na BIURO;1 000 z³;https://olx.pl/d/oferta/czluchowska-hala-wola-pokoj-18m2-z-lazienka-lub-na-biuro-CID3-IDWgEDm.html;2;Kawalerka;Blok;18 m?;Tak;Firmowe;1 z³
Cicha kawalerka z balkonem tuz przy metrze Pole Mokotowskie;2 300 z³;https://olx.pl/d/oferta/cicha-kawalerka-z-balkonem-tuz-przy-metrze-pole-mokotowskie-CID3-IDY9meO.html;1;Kawalerka;Blok;19 m?;Tak;Prywatne;300 z³
Super cena! Przy parku! Centrum! PKP! Tramwaje! Piwnica! Od zaraz !;3 303 z³;https://olx.pl/d/oferta/super-cena-przy-parku-centrum-pkp-tramwaje-piwnica-od-zaraz-CID3-IDYqneK.html;5;2 pokoje;Pozosta³e;54 m?;Tak;Firmowe;1 z³
Jasne 2-pokojowe mieszkanie z widokiem na Wolê;3 950 z³;https://www.otodom.pl/pl/oferta/jasne-2-pokojowe-mieszkanie-z-widokiem-na-wole-ID49kMO.html;7/8;2;apartamentowiec;52 m?;;prywatny;520 z³/miesi¹c
mieszkanie trzypokojowe | ul. Krzemieniecka 10;5 100 z³;https://www.otodom.pl/pl/oferta/mieszkanie-trzypokojowe-ul-krzemieniecka-10-ID4n3Mr.html;5/5;3;blok;60,77 m?;;deweloper;900 z³/miesi¹c
Trzy samodzielne pokoje w mieszkaniu przy metrze Wawrzyszew;5 000 z³;https://olx.pl/d/oferta/trzy-samodzielne-pokoje-w-mieszkaniu-przy-metrze-wawrzyszew-CID3-IDWAyVc.html;;3 pokoje;Blok;48 m?;Tak;Prywatne;1 000 z³
Kawalerka na wynajem, minimum 1 miesi¹c, wola / ?????? ??? ??????;3 600 z³;https://olx.pl/d/oferta/kawalerka-na-wynajem-minimum-1-miesiac-wola-CID3-IDURIQo.html;6;Kawalerka;Apartamentowiec;22 m?;Tak;Prywatne;1 z³
4 pokoje 83 m2, Warszawa-Tarchomin;3 600 z³;https://www.otodom.pl/pl/oferta/4-pokoje-83-m2-warszawa-tarchomin-ID4oq31.html;parter/10;4;blok;83 m?;;prywatny;1 200 z³/miesi¹c
Studio dla pary obok Kolejowej;3 400 z³;https://olx.pl/d/oferta/studio-dla-pary-obok-kolejowej-CID3-IDSwZ0p.html;2;2 pokoje;Blok;44,72 m?;Tak;Firmowe;590 z³
2 pokojowe przy lesie z miejscem parkingowym;2 990 z³;https://www.otodom.pl/pl/oferta/2-pokojowe-przy-lesie-z-miejscem-parkingowym-ID4oPZ2.html;parter;2;blok;40 m?;;prywatny;700 z³/miesi¹c
Nowoczesny Apartament w Triton Park Ochota - bezposrednio;4 000 z³;https://olx.pl/d/oferta/nowoczesny-apartament-w-triton-park-ochota-bezposrednio-CID3-IDizQ2D.html;9;Kawalerka;Apartamentowiec;35 m?;Tak;Firmowe;600 z³
Apartament 47m2 przy ul.Pieknej;4 600 z³;https://olx.pl/d/oferta/apartament-47m2-przy-ul-pieknej-CID3-IDXFXmp.html;4;2 pokoje;Kamienica;47 m?;Tak;Prywatne;600 z³
2 pokojowe mieszkanie na Natolinie, blisko metra;2 900 z³;https://olx.pl/d/oferta/2-pokojowe-mieszkanie-na-natolinie-blisko-metra-CID3-IDYqmV0.html;8;2 pokoje;Blok;45 m?;Tak;Prywatne;745 z³
2 pokojowy apartament | ul. ¯elazna 24;5 000 z³;https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-ul-zelazna-24-ID4jFzb.html;7/7;2;apartamentowiec;39,36 m?;;deweloper;700 z³/miesi¹c
Wynajme bezposrednio Stary Mokotów/Metro Rac³awick;4 500 z³;https://www.otodom.pl/pl/oferta/wynajme-bezposrednio-stary-mokotow-metro-raclawick-ID4oPZ1.html;1/5;2;blok;63 m?;;prywatny;650 z³/miesi¹c
wynajem mieszkania;3 500 z³;https://www.otodom.pl/pl/oferta/wynajem-mieszkania-ID4oPZ0.html;parter/3;2;blok;43 m?;;prywatny;500 z³/miesi¹c
wynajmê mieszkanie  Warszawa Bielany;3 000 z³;https://olx.pl/d/oferta/wynajme-mieszkanie-warszawa-bielany-CID3-IDY5HDd.html;3;2 pokoje;Blok;50 m?;Tak;Prywatne;615 z³
Kawalerka z miejscem parkingowym;2 500 z³;https://olx.pl/d/oferta/kawalerka-z-miejscem-parkingowym-CID3-IDNl2i3.html;4;Kawalerka;Apartamentowiec;32 m?;Tak;Prywatne;600 z³
Kawalerka - Warszawa Ursus z szybkim dojazdem do Centrum;2 000 z³;https://olx.pl/d/oferta/kawalerka-warszawa-ursus-z-szybkim-dojazdem-do-centrum-CID3-IDXsLLN.html;;Kawalerka;Apartamentowiec;18 m?;Tak;Prywatne;400 z³
